Catagory,Sub Catagory,Item,Measuring Units,Current Stock,Calories,Protein(g),Carbs(g),Fat(g)
Bathroom,Personal Care,Shampoo,,0,,,,
Bathroom,Personal Care,Shaving Cream,,0,,,,
Bathroom,Personal Care,Toilet Paper,,0,,,,
Bathroom,Personal Care,Tooth Paste,,0,,,,
Bathroom,Medicine,Allergy,,0,,,,
Bathroom,Medicine,Antidiarrheal,,0,,,,
Bathroom,Medicine,Aspirin,,0,,,,
Bathroom,Medicine,Antacid,,0,,,,
Bathroom,Medicine,Band-aid,,0,,,,
Bathroom,Medicine,Cold/Flu,,0,,,,
Bathroom,Medicine,Prescription,,0,,,,
Bathroom,Medicine,Sinus,,0,,,,
Bathroom,Medicine,Vitamins,,0,,,,
Hard Goods,Kitchen,Aluminium Foil,,0,,,,
Hard Goods,Kitchen,Coffee Filters,,0,,,,
Hard Goods,Kitchen,Freezer Bag,,0,,,,
Hard Goods,Kitchen,Napkins,,0,,,,
Hard Goods,Kitchen,Non-stick Spray,,0,,,,
Hard Goods,Kitchen,Plastic Wrap,,0,,,,
Hard Goods,Kitchen,Roasting Pan,,0,,,,
Hard Goods,Kitchen,Sandwitch bags,,0,,,,
Hard Goods,Kitchen,Wax Paper,,0,,,,
Hard Goods,Cleaning Products,Air Freshener,,0,,,,
Hard Goods,Cleaning Products,Bathroom Cleaner,,0,,,,
Hard Goods,Cleaning Products,Baby Wipes,,0,,,,
Hard Goods,Cleaning Products,Bleach,,0,,,,
Hard Goods,Cleaning Products,Dish/Washer Soap,,0,,,,
Hard Goods,Cleaning Products,Dryer Sheets,,0,,,,
Hard Goods,Cleaning Products,Fabric Softener,,0,,,,
Hard Goods,Cleaning Products,Floor Cleaner,,0,,,,
Hard Goods,Cleaning Products,Laundry Detergent,,0,,,,
Hard Goods,Cleaning Products,Mop Head,,0,,,,
Hard Goods,Cleaning Products,Oven Cleaner,,0,,,,
Hard Goods,Cleaning Products,Paper Towels,,0,,,,
Hard Goods,Cleaning Products,Songe/Scrubblers,,0,,,,
Hard Goods,Cleaning Products,Spray Polish,,0,,,,
Hard Goods,Cleaning Products,Vacuum Bags,,0,,,,
Hard Goods,Office Supplies,Envelopes,,0,,,,
Hard Goods,Office Supplies,Glue,,0,,,,
Hard Goods,Office Supplies,Notepads,,0,,,,
Hard Goods,Office Supplies,Paper,,0,,,,
Hard Goods,Office Supplies,Pen/Pencils,,0,,,,
Hard Goods,Office Supplies,Scotch Tape,,0,,,,
Refrigerator,Dairy,Almond Milk,,0,17,1.46,0.57,0.62
Refrigerator,Dairy,Butter,,0,736,0,0,83
Refrigerator,Dairy,Heavy Cream,,0,,,,
Refrigerator,Dairy,Margarine,,0,,,,
Refrigerator,Dairy,Milk,,0,,,,
Refrigerator,Dairy,Sour Cream,,0,,,,
Refrigerator,Dairy,Whipped Cream,,0,,,,
Refrigerator,Dairy,Yoghurt,,0,,,,
Refrigerator,Cheese,Cheddar,,0,,,,
Refrigerator,Cheese,Cottage Cheese,,0,,,,
Refrigerator,Cheese,Cream Cheese,,0,,,,
Refrigerator,Cheese,Feta,,0,,,,
Refrigerator,Cheese,Mozzarella,,0,,,,
Refrigerator,Cheese,Parmesan,,0,,,,
Refrigerator,Cheese,Sandwitch slices,,0,,,,
Refrigerator,Cheese,Shredded,,0,,,,
Refrigerator,Cheese,Swiss,,0,,,,
Refrigerator,Meat,Bacon,,0,533,38.3,1.5,40.3
Refrigerator,Meat,Beef,,0,,,,
Refrigerator,Meat,Chicken,,0,152,29,0,3
Refrigerator,Meat,Ground Beef,,0,,,,
Refrigerator,Meat,Ground Turkey,,0,,,,
Refrigerator,Meat,Ham,,0,,,,
Refrigerator,Meat,Pork,,0,143,26.2,0,3.5
Refrigerator,Meat,Sausage,,0,312,1.6,18,26
Refrigerator,Meat,Steak,,0,,,,
Refrigerator,Meat,Turkey,,0,,,,
Refrigerator,Eggs,Eggs,,0,143,14.1,0.5,9.6
Refrigerator,Seafood,Cocktail Sauce,,0,,,,
Refrigerator,Seafood,Crab,,0,,,,
Refrigerator,Seafood,Halibut,,0,,,,
Refrigerator,Seafood,Oysters,,0,,,,
Refrigerator,Seafood,Salmon,,0,,,,
Refrigerator,Seafood,Shrimp,,0,,,,
Refrigerator,Seafood,Tilapia,,0,,,,
Freezer,Freezer,Ice Cream,,0,,,,
Freezer,Freezer,Pizza,,0,,,,
Freezer,Freezer,Vegitables,,0,,,,
Suppliments,Gym,Whey,,0,400,100,0,0
